Nombre,Edad,Titulo_Profesional,Universidad_Instituto,Palabras_Clave,Comuna,Presencial,Magister,Target
Santiago Morales Díaz,29,Abogado,Universidad Mayor,6,La Florida,Si,Si,Rechazado
Ángela Castro Zambrano,54,Enfermero,Universidad de Santiago,15,Las Condes,Si,Si,Aceptado
Laura Padilla Becerra,51,Técnico en Administración,Pontificia Universidad Católica,5,Puente Alto,Si,Si,Rechazado
Juan Alarcón,29,Técnico en Administración,Universidad Diego Portales,1,La Serena,No,No,Rechazado
Johanna María Figueroa Garay,54,Licenciado en Ciencias,Universidad Diego Portales,4,Estación Central,Si,No,Rechazado
Samuel Rojas,40,Técnico en Administración,Universidad de Santiago,3,Quilicura,No,No,Rechazado
María Llanos Novoa,49,Médico,Pontificia Universidad Católica,13,Santiago,No,Si,Rechazado
Sabina Edith Caballero Díaz,56,Ingeniero Comercial,Universidad Mayor,8,San Miguel,No,Si,Rechazado
José Peralta Soto,52,Psicólogo,Pontificia Universidad Católica,2,Puente Alto,No,No,Rechazado
Paola Evelyn Ramírez Córdova,42,Ingeniero Informático,INACAP,0,Antofagasta,No,Si,Rechazado
Manuel Roberto Cortés Azócar,52,Periodista,Universidad Mayor,2,Quilicura,Si,Si,Rechazado
Doris Patricia San Martín Alfaro,45,Contador Auditor,Pontificia Universidad Católica,17,Ñuñoa,Si,No,Rechazado
Isabel Fuentes Díaz,38,Contador Auditor,Universidad Andrés Bello,7,San Miguel,No,Si,Rechazado
Magdalena Lorena Cid Faúndez,64,Periodista,Universidad Diego Portales,15,Peñalolén,No,No,Rechazado
Germán Vásquez Núñez,46,Enfermero,Universidad de Chile,12,Las Condes,No,No,Aceptado
Juan Mario Fernández Verdugo,28,Ingeniero Civil,Universidad de Chile,3,Estación Central,Si,No,Rechazado
Nicole Carrasco Fuenzalida,37,Ingeniero Informático,Instituto Profesional AIEP,13,Valparaíso,No,Si,Aceptado
Alejandra Saavedra,44,Ingeniero Comercial,Pontificia Universidad Católica,14,Maipú,Si,No,Aceptado
Alfonso Urrutia,43,Diseñador Gráfico,Universidad Mayor,18,Maipú,No,Si,Aceptado
Carmen María Parra Ojeda,43,Ingeniero Civil,Universidad de Concepción,16,Recoleta,Si,No,Aceptado
Pablo Marín,65,Licenciado en Ciencias,Universidad Diego Portales,11,Puente Alto,Si,No,Rechazado
Rachel Valentina Olivares Ruiz,25,Médico,Universidad Mayor,5,Viña del Mar,Si,Si,Rechazado
Amalia María Araya-Santana Venegas,61,Enfermero,Universidad de Santiago,19,La Florida,No,Si,Aceptado
Abraham Cristopher Aguilar-Marín López,63,Ingeniero Informático,Instituto Profesional AIEP,18,Estación Central,No,Si,Aceptado
Cristopher Fernando Vásquez Sandoval,47,Contador Auditor,Universidad de Santiago,4,Ñuñoa,No,Si,Rechazado
Josefa Eliana Sierra Gómez,44,Enfermero,INACAP,8,Puente Alto,Si,No,Rechazado
Viviana Valenzuela,55,Psicólogo,Universidad de Concepción,15,Puente Alto,Si,Si,Aceptado
Margarita Melanie Véliz Mamani,22,Periodista,Universidad Técnica Federico Santa María,15,Independencia,No,No,Aceptado
Irma Álvarez,50,Enfermero,Pontificia Universidad Católica,2,Peñalolén,No,No,Rechazado
Samuel Daniel Jerez Guerrero,37,Periodista,Universidad Mayor,18,Estación Central,Si,Si,Aceptado
Blanca María Herrera Aguirre,42,Contador Auditor,Universidad de Santiago,6,Peñalolén,Si,Si,Aceptado
Karla María Cabezas Gajardo,51,Diseñador Gráfico,DUOC UC,4,Recoleta,No,No,Rechazado
Margarita Noelia Molina Cortés,55,Diseñador Gráfico,Universidad Mayor,19,Ñuñoa,No,Si,Aceptado
Claudia Arcos Salazar,40,Contador Auditor,Universidad de Chile,0,Viña del Mar,Si,Si,Rechazado
Valeria Carrasco Vásquez,37,Psicólogo,DUOC UC,1,Las Condes,No,No,Rechazado
Patricio Ramírez Navarro,53,Periodista,Pontificia Universidad Católica,19,Quilicura,No,No,Rechazado
Rubén Juan Ojeda Prado,54,Psicólogo,DUOC UC,18,Quilicura,Si,Si,Aceptado
Martina Barra Saavedra,33,Técnico en Administración,Universidad Diego Portales,2,Independencia,Si,No,Rechazado
Diana Ana Cisternas Quezada,50,Técnico en Administración,Universidad Mayor,12,Santiago,No,No,Aceptado
Claudio Armando Hidalgo Ruiz,23,Licenciado en Ciencias,DUOC UC,18,Estación Central,No,No,Rechazado
Mayra Mora,50,Técnico en Informática,Universidad Diego Portales,9,San Miguel,No,Si,Aceptado
Kevin Rodrigo Venegas Hernández,55,Periodista,Pontificia Universidad Católica,18,Quilicura,No,Si,Aceptado
Juana Álvarez Rojas,32,Enfermero,Universidad Técnica Federico Santa María,3,Quilicura,Si,Si,Rechazado
Nelson Cortés,57,Ingeniero Informático,Universidad de Chile,9,Providencia,Si,No,Aceptado
Manuel Valenzuela,56,Diseñador Gráfico,Pontificia Universidad Católica,15,Valparaíso,No,Si,Aceptado
Carlos José Mondaca Tapia,60,Arquitecto,Instituto Profesional AIEP,4,Independencia,No,No,Rechazado
Armando Jhon Gallardo-Morales Quezada,56,Licenciado en Ciencias,Universidad de Santiago,8,Santiago,Si,No,Rechazado
Emily Muñoz Tapia,41,Licenciado en Ciencias,Universidad de Santiago,15,La Serena,No,Si,Aceptado
Giancarlo Rojas,57,Abogado,Universidad Técnica Federico Santa María,11,Ñuñoa,No,Si,Rechazado
Eliana Candia,40,Médico,INACAP,11,La Serena,No,No,Rechazado
Ninoska Viviana Hernández Vásquez,40,Diseñador Gráfico,Instituto Profesional AIEP,14,La Serena,No,No,Aceptado
Cristopher Waldo Canales Córdova,26,Ingeniero Informático,Instituto Profesional AIEP,2,Concepción,No,No,Rechazado
Jaime Farías Rodríguez,44,Médico,Universidad Técnica Federico Santa María,15,Peñalolén,No,Si,Aceptado
Amelia Colomba Rojas Poblete,63,Contador Auditor,INACAP,6,Las Condes,No,Si,Rechazado
Andrea Elizabeth Silva Rodríguez,33,Contador Auditor,Universidad Adolfo Ibáñez,8,Estación Central,Si,Si,Aceptado
Loreto Astorga,65,Ingeniero Informático,Universidad Técnica Federico Santa María,16,Independencia,Si,Si,Aceptado
Rosa Ramírez Méndez,23,Ingeniero Comercial,DUOC UC,4,Viña del Mar,No,No,Rechazado
Manuel Daniel Núñez Caro,59,Técnico en Administración,Universidad de Chile,18,San Miguel,No,No,Aceptado
Sara María Vargas Azócar,38,Médico,Universidad Andrés Bello,6,Santiago,No,No,Rechazado
Rocío Amelia Figueroa Reyes,25,Ingeniero Civil,Universidad Adolfo Ibáñez,3,Quilicura,No,No,Rechazado
Francia Catalina Pozo Quiroga,60,Abogado,Instituto Profesional AIEP,9,Antofagasta,Si,No,Rechazado
Domingo Véliz Gajardo,60,Licenciado en Ciencias,Universidad de Concepción,2,Viña del Mar,No,Si,Rechazado
Tomas Manuel Tello Cerda,41,Técnico en Administración,Universidad Adolfo Ibáñez,7,Independencia,Si,No,Rechazado
Ramiro Olivares,62,Ingeniero Informático,Universidad Andrés Bello,6,Antofagasta,Si,No,Rechazado
Ian Sepúlveda Pérez,46,Diseñador Gráfico,Universidad Andrés Bello,0,Santiago,Si,No,Rechazado
Richard José González Garrido,27,Ingeniero Informático,INACAP,11,La Florida,Si,No,Aceptado
Pedro Vicente Ávila Álvarez,37,Técnico en Administración,Universidad Adolfo Ibáñez,20,San Miguel,No,No,Rechazado
Carolina Doris Robles Torres,58,Psicólogo,DUOC UC,3,Peñalolén,No,No,Rechazado
Alberto Riffo Albornoz,62,Enfermero,Pontificia Universidad Católica,16,Concepción,Si,Si,Aceptado
Sebastián Mario Castillo Coronado,52,Psicólogo,Universidad Técnica Federico Santa María,0,Las Condes,Si,Si,Rechazado
Evelyn Delfina Navarro Pérez,32,Licenciado en Ciencias,Universidad Técnica Federico Santa María,11,Santiago,Si,Si,Aceptado
Aurora María Cortés Salazar,37,Ingeniero Informático,INACAP,7,Ñuñoa,Si,No,Rechazado
Anaís Catalina Cuevas Pinto,49,Arquitecto,Universidad de Concepción,3,Recoleta,Si,Si,Rechazado
Fernando Alonso Esparza Torres,49,Médico,Universidad de Santiago,4,Quilicura,Si,Si,Rechazado
Alfredo Rojas,41,Contador Auditor,Universidad Andrés Bello,12,Independencia,No,Si,Aceptado
Ismael Pedro Carrillo Toledo,50,Ingeniero Comercial,Universidad Andrés Bello,12,Puente Alto,Si,No,Rechazado
Jazmín Verónica Valdebenito Rojas,26,Enfermero,Universidad Diego Portales,0,Ñuñoa,Si,No,Rechazado
Gladys María Méndez Bustos,39,Abogado,DUOC UC,14,Recoleta,Si,No,Aceptado
Jacqueline María Poblete Pineda,43,Ingeniero Civil,DUOC UC,16,Concepción,Si,No,Rechazado
Marcelo Pedro Silva Valdivia,55,Psicólogo,Universidad Diego Portales,8,Valparaíso,Si,No,Rechazado
Miguel Patricio Ortiz Marín,27,Ingeniero Informático,Instituto Profesional AIEP,16,La Serena,No,No,Rechazado
Viviana Carol Villegas Muñoz,26,Técnico en Informática,DUOC UC,5,Peñalolén,No,Si,Rechazado
Roxana Lorena Hermosilla Seguel,31,Enfermero,Pontificia Universidad Católica,9,Peñalolén,No,Si,Aceptado
Constanza Mamani Rubio,42,Médico,INACAP,13,Independencia,No,Si,Aceptado
Ingrid Paz Ruiz Castro,25,Técnico en Informática,Universidad Adolfo Ibáñez,0,La Florida,No,Si,Rechazado
Rodrigo David González Vargas,53,Psicólogo,Universidad de Concepción,1,Estación Central,No,No,Rechazado
Julio Molina,55,Abogado,Universidad de Chile,2,La Serena,Si,Si,Rechazado
Edinson Domingo Vargas Leiva,33,Licenciado en Ciencias,Instituto Profesional AIEP,0,Viña del Mar,No,Si,Rechazado
Rodrigo Mauricio Sandoval González,38,Arquitecto,INACAP,15,Concepción,No,Si,Aceptado
Melania Amparo Salas Gutiérrez,44,Ingeniero Comercial,Universidad de Concepción,14,Puente Alto,No,Si,Aceptado
Sandra Ximena Aravena Moraga,60,Contador Auditor,Universidad Diego Portales,5,Recoleta,No,No,Rechazado
Elisa Soto,55,Técnico en Administración,Instituto Profesional AIEP,5,Antofagasta,No,No,Rechazado
María Elizabeth Rojas Ruiz,55,Arquitecto,INACAP,19,Peñalolén,No,No,Aceptado
Isidora Tamara Vidal Albornoz,54,Licenciado en Ciencias,Pontificia Universidad Católica,14,San Miguel,No,Si,Aceptado
Belén Trinidad Villalobos López,26,Arquitecto,Universidad Mayor,3,La Florida,Si,Si,Rechazado
Belén Núñez,38,Arquitecto,INACAP,9,Peñalolén,No,Si,Aceptado
Luis José Muñoz Inostroza,64,Enfermero,Universidad Técnica Federico Santa María,10,Quilicura,Si,No,Rechazado
Vicente Luis Rojas Arriagada,44,Ingeniero Informático,Universidad de Concepción,15,Santiago,Si,No,Aceptado
Angélica Núñez Parada,24,Ingeniero Civil,Universidad de Chile,2,Antofagasta,No,Si,Rechazado
José Méndez Moreno,53,Periodista,INACAP,17,Ñuñoa,Si,No,Rechazado
Catalina Jara Fuentes,39,Técnico en Informática,INACAP,9,Valparaíso,No,Si,Aceptado
Cristian Marchant,42,Ingeniero Civil,Universidad de Concepción,5,Concepción,Si,Si,Aceptado
Victoria Medina González,55,Técnico en Administración,INACAP,16,Las Condes,Si,Si,Aceptado
Allison Madrid Márquez,48,Ingeniero Informático,Universidad Andrés Bello,8,Quilicura,Si,Si,Rechazado
Diego Esteban Aranda Gaete,51,Ingeniero Comercial,Universidad Mayor,10,Viña del Mar,Si,No,Rechazado
Victoria Rosa Morales Galaz,38,Técnico en Informática,INACAP,3,Quilicura,No,No,Rechazado
Felipe Rafael Valenzuela Sepúlveda,36,Diseñador Gráfico,Universidad Andrés Bello,14,Providencia,Si,Si,Aceptado
Daniela Mary Bustamante Contreras,43,Periodista,Universidad Técnica Federico Santa María,13,Peñalolén,Si,Si,Aceptado
Margarita Doris Sanhueza León,47,Licenciado en Ciencias,Universidad de Santiago,13,Antofagasta,Si,Si,Aceptado
Rolando Sergio Marín Santibáñez,28,Ingeniero Civil,DUOC UC,2,Valparaíso,No,No,Rechazado
Carla Donoso Suárez,39,Ingeniero Civil,Universidad Técnica Federico Santa María,5,Quilicura,No,No,Rechazado
Claudia Romina Pino Caballero,36,Ingeniero Comercial,Universidad Diego Portales,4,Puente Alto,No,Si,Rechazado
Martha Camila Vásquez Palma,43,Técnico en Administración,Pontificia Universidad Católica,11,Antofagasta,Si,Si,Aceptado
Bastián Palma Villanueva,34,Contador Auditor,Universidad de Santiago,19,Las Condes,Si,Si,Aceptado
Camila Catalina Bobadilla-Vargas Ramírez,39,Médico,Universidad de Concepción,14,Quilicura,No,Si,Rechazado
Arturo Ramos Barra,43,Técnico en Informática,Instituto Profesional AIEP,1,Quilicura,No,No,Rechazado
Pedro Mauricio Avilés Pino,63,Abogado,Universidad Mayor,8,Concepción,No,Si,Aceptado
Ximena María González Oliva,47,Diseñador Gráfico,Universidad de Chile,1,Viña del Mar,No,No,Rechazado
Pablo Julián Vidal Morales,54,Ingeniero Civil,Pontificia Universidad Católica,20,Puente Alto,Si,No,Aceptado
Bernardo Olave,27,Diseñador Gráfico,Universidad de Chile,5,La Florida,No,No,Rechazado
Carolina Gómez Astudillo,51,Contador Auditor,Universidad de Santiago,8,Viña del Mar,No,Si,Aceptado
Jael Vallejos,52,Técnico en Informática,Universidad Adolfo Ibáñez,7,Viña del Mar,No,No,Rechazado
Patricio Pablo Ampuero Castillo,36,Periodista,Pontificia Universidad Católica,5,La Florida,No,No,Rechazado
Pedro José Oyarzún Pavez,51,Arquitecto,INACAP,5,Quilicura,No,Si,Rechazado
Paola Margarita Saldías Pérez,29,Técnico en Informática,Pontificia Universidad Católica,18,Estación Central,No,No,Aceptado
Constanza Ana González González,26,Ingeniero Comercial,DUOC UC,5,La Serena,Si,No,Rechazado
Daniela Hormazábal,22,Técnico en Administración,Universidad de Chile,13,San Miguel,No,No,Rechazado
Facundo René Delgado González,58,Periodista,INACAP,10,Providencia,Si,No,Rechazado
Pablo Mirko Molina Castro,27,Abogado,Universidad de Santiago,17,Quilicura,No,No,Aceptado
Jimmy Morales,26,Ingeniero Comercial,Universidad de Chile,9,Puente Alto,Si,No,Rechazado
Claudio Héctor Jara Vega,38,Abogado,Universidad de Chile,8,Antofagasta,No,Si,Aceptado
Fabiola Rojas Pizarro,45,Licenciado en Ciencias,Pontificia Universidad Católica,5,Valparaíso,Si,Si,Rechazado
Joselyn Inostroza-Soto,65,Técnico en Informática,Instituto Profesional AIEP,17,Quilicura,No,No,Aceptado
Ivo Fernando Chávez Guzmán,32,Enfermero,INACAP,8,Concepción,Si,No,Rechazado
Mónica Carola Romero Araya,43,Abogado,Universidad de Santiago,7,Independencia,Si,Si,Rechazado
Matilde Isabel Araya Araya,58,Enfermero,Pontificia Universidad Católica,13,Peñalolén,No,No,Aceptado
Julio Martín Espinoza Mardones,40,Médico,Universidad Mayor,13,Peñalolén,Si,No,Aceptado
Cecilia Luisa Gallardo Vergara,25,Arquitecto,Universidad de Concepción,12,Concepción,Si,No,Aceptado
Yenny Gisselle Soto Villa,61,Abogado,INACAP,13,Recoleta,No,No,Rechazado
Nury Michelle Fuentes Arancibia,59,Técnico en Informática,Universidad Adolfo Ibáñez,0,San Miguel,Si,No,Rechazado
Natalia Dayana Silva Ojeda,54,Licenciado en Ciencias,DUOC UC,14,Providencia,No,No,Aceptado
Juan Cisternas Escalona,35,Arquitecto,DUOC UC,20,Independencia,Si,No,Aceptado
Arturo Castillo,27,Ingeniero Civil,Universidad de Santiago,2,La Serena,No,Si,Rechazado
Matías Chamorro Rojas,29,Enfermero,INACAP,9,Ñuñoa,No,Si,Rechazado
Benjamín Domingo Bahamondes Guerra,51,Arquitecto,Universidad de Santiago,6,Viña del Mar,Si,Si,Rechazado
Claudio Alvarado,50,Técnico en Informática,Universidad de Concepción,5,Estación Central,No,Si,Rechazado
Carmen Garay,54,Enfermero,Universidad Adolfo Ibáñez,3,Antofagasta,No,No,Rechazado
Samuel Franco López Espinoza,31,Periodista,Instituto Profesional AIEP,4,Concepción,Si,Si,Rechazado
María León,52,Licenciado en Ciencias,Universidad Diego Portales,14,Quilicura,Si,Si,Rechazado
Manuel Ramírez,45,Técnico en Administración,Pontificia Universidad Católica,19,Ñuñoa,No,Si,Aceptado
Gloria Clara Hernández Miranda,25,Arquitecto,Universidad de Concepción,11,Santiago,Si,No,Rechazado
Allison Gallardo,48,Médico,Universidad de Chile,18,Quilicura,No,No,Aceptado
Clemente Fabián Guzmán Ferrada,26,Técnico en Administración,Universidad de Santiago,19,Puente Alto,No,Si,Aceptado
Gloria Díaz Díaz,31,Ingeniero Informático,Universidad de Santiago,7,Las Condes,No,Si,Rechazado
Sara María Gallardo Leiva,64,Técnico en Informática,Universidad Andrés Bello,11,Maipú,Si,No,Rechazado
Sebastián Jonathan Angulo Mendoza,61,Periodista,Universidad de Concepción,17,Valparaíso,No,Si,Rechazado
Víctor Silva,33,Médico,INACAP,11,Quilicura,Si,Si,Aceptado
Matías Ramírez,25,Técnico en Informática,Universidad Adolfo Ibáñez,4,Quilicura,No,No,Rechazado
María Teresita Plaza Inostroza,49,Técnico en Informática,Universidad de Concepción,8,San Miguel,No,No,Rechazado
Lorena Sandra Santibáñez Pereira,50,Ingeniero Comercial,Universidad Técnica Federico Santa María,13,Independencia,No,No,Rechazado
Romina Moya,57,Arquitecto,Universidad de Concepción,0,Santiago,No,No,Rechazado
Paola Guzmán Silva,61,Ingeniero Civil,Universidad Andrés Bello,14,Providencia,No,No,Rechazado
Yaritza Romero,47,Médico,Universidad Técnica Federico Santa María,8,Recoleta,Si,Si,Aceptado
Sebastián Rubén Flores Vera,46,Diseñador Gráfico,Universidad de Concepción,10,Maipú,Si,Si,Rechazado
Camila Reyes Olave,48,Contador Auditor,INACAP,16,Providencia,No,Si,Aceptado
Karin Cortés Ortega,65,Ingeniero Comercial,Universidad de Concepción,18,Estación Central,No,Si,Aceptado
Lorenzo Muñoz Yáñez,45,Licenciado en Ciencias,Universidad de Santiago,0,Antofagasta,No,No,Rechazado
Erika Miranda Calderón,64,Enfermero,Universidad de Santiago,17,Peñalolén,No,No,Rechazado
Maximiliano Luciano Urra Villarroel,41,Arquitecto,Universidad Adolfo Ibáñez,7,Ñuñoa,No,Si,Rechazado
Jorge Marco Pincheira Osses,22,Ingeniero Informático,Universidad Técnica Federico Santa María,12,Independencia,No,Si,Rechazado
Carlos Fredes,53,Médico,DUOC UC,16,Santiago,No,Si,Aceptado
Mia Elcira González Espinoza,51,Técnico en Informática,Universidad Adolfo Ibáñez,15,Peñalolén,No,No,Rechazado
Isabella Carmen Ortiz Vergara,23,Ingeniero Comercial,Universidad Diego Portales,16,Puente Alto,No,Si,Aceptado
Alice Josefa Carreño León,59,Diseñador Gráfico,Universidad Mayor,18,Estación Central,Si,Si,Rechazado
Oscar Juan Vega Flores,60,Periodista,INACAP,2,Quilicura,No,Si,Rechazado
Katherine Tello,31,Ingeniero Informático,Universidad de Chile,18,Providencia,No,No,Aceptado
Constanza Alarcón,49,Ingeniero Comercial,Pontificia Universidad Católica,17,Puente Alto,Si,No,Aceptado
Marcela Florencia Hernández Monsalve,29,Técnico en Informática,Universidad Adolfo Ibáñez,0,Antofagasta,No,Si,Rechazado
Reynaldo Patricio Moreno Romero,29,Técnico en Administración,Universidad Diego Portales,14,Ñuñoa,No,No,Rechazado
Katerine Nancy Maturana González,54,Contador Auditor,Universidad de Chile,14,Recoleta,Si,No,Rechazado
Cecilia Gallardo Espinoza,53,Técnico en Informática,Universidad Técnica Federico Santa María,13,Recoleta,Si,No,Rechazado
Rosa Robles,25,Abogado,Universidad Diego Portales,19,Recoleta,Si,No,Aceptado
Mirta Paulina Meza Torres,39,Contador Auditor,Universidad Técnica Federico Santa María,6,Ñuñoa,No,Si,Rechazado
Christian Hernán Coronado Vargas,54,Periodista,Universidad Técnica Federico Santa María,20,Santiago,Si,No,Rechazado
Isidora Catherine Muñoz Suárez,26,Licenciado en Ciencias,Universidad de Santiago,19,San Miguel,Si,Si,Aceptado
Ángela Amanda García Vásquez,23,Diseñador Gráfico,Universidad Técnica Federico Santa María,2,Puente Alto,No,Si,Rechazado
Manuel Figueroa,59,Médico,Universidad Andrés Bello,8,Santiago,No,Si,Rechazado
Alexandra Albornoz Vidal,65,Ingeniero Informático,Universidad Mayor,2,Peñalolén,Si,Si,Rechazado
Francisco Tapia,38,Periodista,Universidad de Chile,17,Maipú,Si,No,Aceptado
Pablo León Díaz,35,Médico,Universidad Técnica Federico Santa María,8,Estación Central,Si,Si,Aceptado
Patricio Edison Benavides Guerra,43,Contador Auditor,Universidad de Chile,10,Maipú,No,Si,Aceptado
María Jara Toro,47,Arquitecto,Pontificia Universidad Católica,12,Concepción,No,No,Rechazado
Carolina Valenzuela Lillo,42,Abogado,Universidad Andrés Bello,9,Ñuñoa,No,Si,Aceptado
Felipe Ramón Mella Vera,59,Diseñador Gráfico,Universidad de Chile,1,La Serena,No,No,Rechazado
Sara Leslie Pérez Donoso,44,Periodista,Universidad de Chile,20,Providencia,No,No,Aceptado
Juan Cortés-Martinez Prieto,42,Técnico en Administración,Universidad Diego Portales,5,Ñuñoa,No,No,Rechazado
Mauro Coronado,28,Ingeniero Comercial,Pontificia Universidad Católica,9,Estación Central,Si,Si,Aceptado
Ana Muñoz Morales,47,Ingeniero Informático,Universidad de Concepción,20,Antofagasta,No,No,Aceptado
Isabel Antonia Valenzuela Aliaga,64,Diseñador Gráfico,Universidad Mayor,0,Quilicura,No,No,Rechazado
Ida Leonor Gómez Palma,57,Ingeniero Comercial,Instituto Profesional AIEP,18,Ñuñoa,Si,No,Aceptado
